name,start,salary,target,debut
Cole Anthony,2024,13033333.0,0.089657819,2020
Cole Swider,2023,1801769.0,0.013446037,2022
Collin Sexton,2022,17737500.0,0.132813767,2018
Corey Brewer,2010,3059000.0,0.052701399,2007
Corey Brewer,2013,4702500.0,0.077252267,2007
Corey Brewer,2015,7806971.0,0.09512402,2007
Corey Brewer,2017,539405.0,0.005443422,2007
Corey Brewer,2018,1006762.5,0.0098829135,2007
Corey Brewer,2019,289803.0,0.002655333,2007
Cory Joseph,2015,7472500.0,0.085161224,2011
Cory Joseph,2019,12400000.0,0.11361554,2011
Cory Joseph,2021,5032750.0,0.04476978,2011
Cory Joseph,2023,3196448.0,0.02385409,2011
Courtney Lee,2016,12000835.0,0.121998966,2008
Courtney Lee,2020,2564753.0,0.023499661,2008
Craig Sword,2019,898310.0,0.008230804,2016
Craig Sword,2022,1017781.0,0.008230812,2016
Craig Sword,2023,1119563.0,0.008354948,2016
Cristiano Felicio,2017,8000000.0,0.07739389,2015
D'Angelo Russell,2019,29331375.0,0.26608927,2015
D'Angelo Russell,2023,18000000.0,0.134328358,2015
D.J. Augustin,2012,3500000.0,0.060299083,2008
D.J. Augustin,2013,1011229.5,0.017233243500000002,2008
D.J. Augustin,2014,3000000.0,0.047569967,2008
D.J. Augustin,2016,7250000.0,0.07370258,2008
D.J. Augustin,2020,7000000.0,0.063190012,2008
D.J. Augustin,2021,622467.0,0.005537273,2008
D.J. Augustin,2022,300605.0,0.002430998,2008
D.J. Carton,2023,1119563.0,0.008354948,2021
D.J. Kennedy,2016,874636.0,0.009290505,2011
D.J. Steward,2022,1017781.0,0.008230812,2021
D.J. Steward,2023,1119563.0,0.008354948,2021
D.J. Stewart Jr.,2022,1637966.0,0.013246258,2021
DJ Wilson,2006,695012.0,0.012780067,2017
DJ Wilson,2009,855189.0,0.0148213,2017
DJ Wilson,2010,350179.0,0.006032992,2017
DJ Wilson,2011,992680.0,0.017102198,2017
DJ Wilson,2012,4110450.0,0.070816105,2017
DJ Wilson,2013,8000000.0,0.131423314,2017
DJ Wilson,2021,899769.5,0.0080040825,2017
DJ Wilson,2022,2273291.0,0.018384141,2017
DJ Wilson,2023,1180050.0,0.008806343500000001,2017
DaQuan Jeffries,2020,1445697.0,0.013246262,2019
DaQuan Jeffries,2021,1669178.0,0.014848489,2019
DaQuan Jeffries,2022,1032119.3333333334,0.008346763666666666,2019
DaQuan Jeffries,2023,687531.5,0.005130853,2019
Dahntay Jones,2015,1139713.0,0.016281614,2003
Dahntay Jones,2016,1551659.0,0.016481937,2003
Daishen Nix,2023,2019706.0,0.015072433,2021
Dalano Banton,2023,2108338.0,0.015733866,2021
Damian Jones,2020,992154.6666666666,0.009090660333333334,2016
Damian Jones,2022,2442525.0,0.019752739,2016
Damian Lillard,2008,1904000.0,0.032747787,2012
Damian Lillard,2015,17000450.0,0.186252722,2012
Damian Lillard,2016,27977689.0,0.276838937,2012
Damian Lillard,2020,18000000.0,0.164925783,2012
Damian Lillard,2021,44066288.0,0.357227609,2012
Damian Lillard,2025,56456400.0,0.382146411,2012
Damion Lee,2016,724360.0,0.007694252,2018
Damion Lee,2017,46080.0,0.000465018,2017
Damion Lee,2019,1505328.0,0.013792633,2017
Damion Lee,2022,2133278.0,0.017251854,2017
Damion Lee,2023,2686788.0,0.020050657,2017
Damjan Rudez,2016,980431.0,0.010414274,2014
Damjan Rudez,2017,1524305.0,0.01538257,2014
Damyean Dotson,2020,2000000.0,0.018325087,2017
Damyean Dotson,2021,899769.5,0.0080040825,2017
Daniel Gafford,2023,13394160.0,0.096708736,2019
Daniel Ochefu,2017,1312611.0,0.013246254,2016
Daniel Oturu,2021,1489065.0,0.013246259,2020
Daniel Theis,2017,1096929.0,0.011069692,2013
Daniel Theis,2019,5000000.0,0.045812718,2015
Daniel Theis,2021,8901378.0,0.072159878,2015
Daniel Theis,2023,2179511.0,0.016265007,2015
Danilo Gallinari,2014,507336.0,0.008044652,2008
Danilo Gallinari,2015,8600000.0,0.10704548800000001,2008
Danilo Gallinari,2017,17293789.5,0.1703037345,2008
Danilo Gallinari,2020,14937500.0,0.1354793475,2008
Danilo Gallinari,2021,13036364.0,0.115967442,2008
Danilo Gallinari,2022,2355357.6666666665,0.019047815666666666,2008
Danilo Gallinari,2023,1047112.0,0.007814269,2008
Danny Green,2015,10000000.0,0.113966175,2009
Danny Green,2019,15000000.0,0.137438153,2009
Danny Green,2021,10000000.0,0.088956891,2009
Danny Green,2022,2000000.0,0.016174033,2009
Danny Green,2023,3196448.0,0.02385409,2009
Dante Cunningham,2011,2090000.0,0.036007167,2009
Dante Cunningham,2014,831942.0,0.013191818,2009
Dante Cunningham,2015,2978250.0,0.03628848,2009
Dante Cunningham,2017,2300000.0,0.023210519,2009
Dante Cunningham,2018,2487000.0,0.024413708,2009
Dante Exum,2018,11000000.0,0.104260956,2014
Dante Exum,2021,2700000.0,0.022874668,2014
Dante Exum,2023,3075000.0,0.022947761,2014
Danuel House Jr.,2017,1312611.0,0.013246254,2016
Danuel House Jr.,2018,974217.6666666666,0.009563436333333333,2016
Danuel House Jr.,2019,3717000.0,0.034057174,2016
Danuel House Jr.,2021,334371.0,0.002974485,2016
Danuel House Jr.,2022,4207625.0,0.034027132,2016
Dario Saric,2020,9000000.0,0.081244302,2016
Dario Saric,2023,2709849.0,0.020222754,2016
Darius Bazley,2023,1364147.6666666667,0.010025443666666667,2019
Darius Garland,2023,39446090.0,0.278616714,2019
Darius Miller,2017,2152500.0,0.021722019,2012
Darius Miller,2019,7125000.0,0.065283123,2012
Darrell Arthur,2015,2877315.0,0.0411045,2008
Darrell Arthur,2016,7666667.0,0.079350297,2008
Darren Collison,2013,1942750.0,0.033108097,2009
Darren Collison,2014,5013559.0,0.075355037,2009
Darren Collison,2017,10000000.0,0.100915302,2009
Darren Collison,2021,15182.0,0.000135054,2009
Darrun Hilliard II,2017,50000.0,0.000504577,2015
Daryl Macon,2019,1445697.0,0.013246262,2018
David Duke Jr.,2022,28241.0,0.000228385,2021
David Duke Jr.,2023,2019706.0,0.015072433,2021
David Johnson,2022,1637966.0,0.013246258,2021
David Johnson,2023,1801769.0,0.013446037,2021
David Lee,2015,2085671.0,0.0297953,2005
David Lee,2016,1578813.0,0.016770371,2005
David Nwaba,2018,1512601.0,0.014848492,2016
David Nwaba,2019,1567055.0,0.0143582095,2016
David Nwaba,2021,5000000.0,0.042360496,2016
David Nwaba,2023,2528233.0,0.01886741,2016
David Stockton,2017,1053667.0,0.0106331125,2014
David Stockton,2019,1620564.0,0.014848488,2014
David Stockton,2021,1669178.0,0.014848489,2014
David Stockton,2022,1836090.0,0.01484849,2014
David West,2015,1525423.0,0.021791757,2003
David West,2016,1551659.0,0.016481937,2003
David West,2017,2328652.0,0.023499662,2003
Davis Bertans,2016,724360.0,0.007694252,2011
Davis Bertans,2018,7250000.0,0.071169836,2013
Davis Bertans,2020,16000000.0,0.133553418,2013
Davon Reed,2019,1620564.0,0.014848488,2017
Davon Reed,2021,881741.0,0.007843694,2017
Davon Reed,2022,1984359.0,0.016047544,2017
De'Aaron Fox,2021,32600060.0,0.254157316,2017
De'Andre Hunter,2023,22500000.0,0.158922622,2019
De'Anthony Melton,2020,8656922.0,0.075232007,2018
DeAndre Jordan,2011,10759764.0,0.184699011,2008
DeAndre Jordan,2015,21904013.0,0.249631658,2008
DeAndre Jordan,2018,22897200.0,0.224771029,2008
DeAndre Jordan,2019,9990179.0,0.090629213,2008
DeAndre Jordan,2021,1616897.0,0.014383413000000001,2008
DeAndre Jordan,2022,2905851.0,0.023499664,2008
DeAndre Jordan,2023,3196448.0,0.02385409,2008
DeAndre Liggins,2012,823244.0,0.014183102,2011
DeAndre Liggins,2016,1296463.0,0.01377121,2011
DeAndre Liggins,2017,1384399.0,0.013970704,2011
DeAndre Liggins,2018,1757429.0,0.017251853,2011
DeAndre' Bembry,2020,1857078.0,0.017015558,2016
DeAndre' Bembry,2021,1270608.5,0.0113029385,2016
DeMar DeRozan,2016,27800000.0,0.275080706,2009
DeMar DeRozan,2021,27300000.0,0.23128831,2009
DeMarcus Cousins,2018,5337000.0,0.052390816,2010
DeMarcus Cousins,2019,3500000.0,0.032068902,2010
