name,debut,start,end,salary,birth
Channing Frye,2005,2018,2018,2393887,1983
Charles Bassey,2021,2022,2025,2550000,2000
Charlie Brown Jr.,2019,2023,2023,2092354,1997
Charlie Brown Jr.,2019,2020,2021,860699,1997
Charlie Brown Jr.,2019,2020,2020,1445697,1997
Charlie Brown Jr.,2019,2021,2021,9593,1997
Charlie Brown Jr.,2019,2020,2020,9902,1997
Charlie Brown Jr.,2019,2023,2023,2092354,1998
Charlie Brown Jr.,2019,2021,2021,9593,1998
Charlie Brown Jr.,2019,2020,2021,860699,1998
Charlie Brown Jr.,2019,2020,2020,9902,1998
Charlie Brown Jr.,2019,2020,2020,1445697,1998
Charlie Villanueva,2005,2015,2015,1499187,1984
Chasson Randle,2015,2022,2022,1968175,1993
Chasson Randle,2015,2021,2021,1789256,1993
Chasson Randle,2015,2020,2020,1678854,1993
Chasson Randle,2015,2018,2018,869094,1993
Chasson Randle,2015,2018,2018,1242652,1993
Chasson Randle,2015,2018,2018,1349383,1993
Chasson Randle,2015,2016,2017,728236,1993
Chasson Randle,2015,2016,2018,1030312,1993
Chasson Randle,2015,2016,2016,543471,1993
Chasson Randle,2015,2019,2019,9156,1993
Chasson Randle,2015,2016,2016,3197,1993
Chasson Randle,2016,2022,2022,1968175,1993
Chasson Randle,2016,2021,2021,1789256,1993
Chasson Randle,2016,2020,2020,1678854,1993
Chasson Randle,2016,2019,2019,9156,1993
Chasson Randle,2016,2018,2018,869094,1993
Chasson Randle,2016,2018,2018,1242652,1993
Chasson Randle,2016,2018,2018,1349383,1993
Chaundee Brown,2021,2022,2022,1637966,1998
Cheick Diallo,2016,2023,2023,2346614,1996
Cheick Diallo,2016,2021,2021,10283,1996
Cheick Diallo,2016,2019,2019,1678854,1996
Chima Moneke,2018,2022,2023,1368823,1995
Chimezie Metu,2018,2020,2020,1764740,1997
Chimezie Metu,2018,2020,2022,1457885,1997
Chimezie Metu,2018,2023,2023,13486,1997
Chimezie Metu,2018,2023,2023,2346614,1997
Chimezie Metu,2018,2023,2024,1435213,1997
Chinanu Onuaku,2016,2018,2018,1512601,1996
Chris Andersen,2001,2016,2016,1551659,1978
Chris Boucher,2017,2018,2018,838464,1993
Chris Boucher,2017,2018,2019,1022825,1993
Chris Boucher,2017,2020,2021,6760000,1993
Chris Boucher,2017,2022,2024,11750000,1993
Chris Chiozza,2018,2019,2019,1445697,1995
Chris Chiozza,2018,2020,2020,1620564,1995
Chris Chiozza,2018,2022,2022,1968175,1995
Chris Clemons,2019,2021,2021,9593,1997
Chris Copeland,2012,2016,2016,1050961,1984
Chris Copeland,2012,2015,2015,1150000,1984
Chris McCullough,2015,2018,2018,1567007,1995
Chris Paul,2005,2018,2021,39932648,1985
Chris Paul,2005,2021,2024,30000000,1985
Chris Paul,2005,2013,2017,21468695,1985
Chris Paul,2005,2009,2012,15907354,1985
Chris Silva,2019,2023,2023,2165000,1996
Chris Silva,2019,2022,2022,10932,1996
Chris Silva,2019,2022,2022,1902133,1996
Chris Silva,2019,2021,2021,9593,1996
Chris Silva,2019,2021,2021,1669178,1996
Christapher Johnson,2012,2017,2017,1577230,1990
Christian Wood,2015,2016,2017,944691,1995
Christian Wood,2015,2018,2019,1578979,1995
Christian Wood,2015,2020,2022,13666667,1995
Christian Wood,2015,2023,2024,2872945,1995
CJ Elleby,2020,2022,2022,1836090,2000
Cleanthony Early,2014,2016,2016,980431,1991
Cliff Alexander,2015,2016,2016,75000,1995
Cliff Alexander,2015,2016,2016,874636,1995
Cliff Alexander,2015,2017,2017,1312611,1995
Clint Capela,2014,2023,2024,22940640,1994
Clint Capela,2014,2018,2022,18000000,1994
Coby White,2019,2023,2025,12000000,2000
Cody Demps,2016,2018,2018,4737,1993
Cody Martin,2019,2022,2025,7840000,1995
Cody Zeller,2013,2017,2020,14000000,1992
Cody Zeller,2013,2021,2021,2389641,1992
Cody Zeller,2013,2022,2022,2641682,1992
Cody Zeller,2013,2023,2023,3196448,1992
Cole Aldrich,2010,2018,2018,2165481,1988
Cole Aldrich,2010,2016,2018,7300000,1988
Cole Aldrich,2010,2015,2016,1163944,1988
Cole Anthony,2020,2024,2026,13033333,2000
Cole Swider,2022,2023,2023,1801769,1999
Collin Sexton,2018,2022,2025,17737500,1999
Corey Brewer,2007,2019,2019,289803,1986
Corey Brewer,2007,2018,2018,2000000,1986
Corey Brewer,2007,2018,2018,13525,1986
Corey Brewer,2007,2017,2017,539405,1986
Corey Brewer,2007,2015,2017,7806971,1986
Corey Brewer,2007,2013,2015,4702500,1986
Corey Brewer,2007,2010,2012,3059000,1986
Cory Joseph,2011,2015,2018,7472500,1991
Cory Joseph,2011,2019,2021,12400000,1991
Cory Joseph,2011,2021,2022,5032750,1991
Cory Joseph,2011,2023,2023,3196448,1991
Courtney Lee,2008,2016,2019,12000835,1985
Courtney Lee,2008,2020,2020,2564753,1985
Craig Sword,2016,2023,2023,1119563,1994
Craig Sword,2016,2022,2022,1017781,1994
Craig Sword,2016,2021,2021,5318,1994
Craig Sword,2016,2019,2019,898310,1994
Cristiano Felicio,2015,2017,2020,8000000,1992
